Product_ID,Product_Name,Category,Supplier_ID,Lead_Time_Days,Supplier_Rating,Month,Year,Forecast_Demand,Current_Stock,Safety_Stock,Reorder_Level,Reorder_Qty,Risk_Score,Risk_Status
P001,Product_1,Beverages,S006,6,3.14,7,2025,34,1399,194,126.0,0,0.02,Low
P001,Product_1,Beverages,S006,6,3.14,8,2025,34,1399,194,126.0,0,0.02,Low
P001,Product_1,Beverages,S006,6,3.14,9,2025,32,1399,194,126.0,0,0.02,Low
P002,Product_2,Personal Care,S033,18,2.93,7,2025,35,1548,91,109.0,0,0.02,Low
P002,Product_2,Personal Care,S033,18,2.93,8,2025,36,1548,91,109.0,0,0.02,Low
P002,Product_2,Personal Care,S033,18,2.93,9,2025,42,1548,91,109.0,0,0.03,Low
P003,Product_3,Personal Care,S049,10,4.16,7,2025,35,1209,101,476.0,0,0.03,Low
P003,Product_3,Personal Care,S049,10,4.16,8,2025,36,1209,101,476.0,0,0.03,Low
P003,Product_3,Personal Care,S049,10,4.16,9,2025,39,1209,101,476.0,0,0.03,Low
P004,Product_4,Dairy,S044,12,4.05,7,2025,34,231,194,308.0,0,0.15,Low
P004,Product_4,Dairy,S044,12,4.05,8,2025,35,231,194,308.0,0,0.15,Low
P004,Product_4,Dairy,S044,12,4.05,9,2025,36,231,194,308.0,0,0.16,Low
P005,Product_5,Dairy,S014,7,4.5,7,2025,41,230,134,302.0,0,0.18,Low
P005,Product_5,Dairy,S014,7,4.5,8,2025,40,230,134,302.0,0,0.17,Low
P005,Product_5,Dairy,S014,7,4.5,9,2025,40,230,134,302.0,0,0.17,Low
P006,Product_6,Household,S023,5,2.91,7,2025,37,780,89,285.0,0,0.05,Low
P006,Product_6,Household,S023,5,2.91,8,2025,35,780,89,285.0,0,0.04,Low
P006,Product_6,Household,S023,5,2.91,9,2025,38,780,89,285.0,0,0.05,Low
P007,Product_7,Beverages,S027,7,3.29,7,2025,33,901,50,273.0,0,0.04,Low
P007,Product_7,Beverages,S027,7,3.29,8,2025,33,901,50,273.0,0,0.04,Low
P007,Product_7,Beverages,S027,7,3.29,9,2025,33,901,50,273.0,0,0.04,Low
P008,Product_8,Personal Care,S013,15,3.3,7,2025,36,1997,114,376.0,0,0.02,Low
P008,Product_8,Personal Care,S013,15,3.3,8,2025,34,1997,114,376.0,0,0.02,Low
